"Meter","Serial Number","Status","Address","City","Cycle","Collector","Service Latitude","Service Longitude","Module FW","Meter FW","Layer","LAst Billable","Hardware Model ID","DCW","Last Path"
"168084701","4029581792","Lost","316 RUBIN RD","PINEVILLE","14","RAW LAND 69 GAP",31.369687,-92.05132,"251284-09.18","05.37",5,01-MAR-19,65563,"2001.09.15","2155070491,2155074168,2155073702,2155073701,2155073930,2155074016,4036756950,4029581792"
"168024707","4029520948","Lost","221 OPEN BAYOU RD","DEVILLE","8","EFFIE",31.35019,-92.09491,"251284-09.18","05.37",4,26-FEB-19,65563,"2001.09.15","2155037567,2155030691,2155281337,2155040303,2155828033,4032210537,4029520948"
"168062292","4029586481","Normal","341 HOLLY MOORE DR","PINEVILLE","2","PGOMW",31.351968,-92.390612,"251284-09.18","05.37",8,11-MAR-19,65563,"2001.09.15","2155038302,2155062643,2155062739,4029582970,4029589678,4029533523,4029586481"
"168206580","4030168381","Normal","226 JEFFERY ST","PATTERSON","12","BAYOU VISTA MW",29.675058,-91.29986,"251284-09.18","05.37",3,06-APR-19,65563,"2001.09.15","2155077940,2155080756,4030168381"
"168375566","4032147693","Normal","1017 SECOND ST","DRY PRONG","10","POLLOCK GAP",31.576585,-92.534495,"251284-09.18","05.37",9,08-APR-19,65563,"2001.09.15","2155048891,2155059222,4028898270,2155059266,2155281338,2155073848,2155073588,2155073948,4029502962,4029523147,4031841197,4029513791,4029514006,4029503010,4032147693"
"168039229","4029503183","Normal","15038 HIGHWAY 8","COLFAX","05","ROPS Common - RC55",31.40279,-92.66482,"251284-09.18","05.37",2,13-MAR-19,65563,"2001.09.15","2155070483,2155239545,4029503183"
"168038639","4029510305","Normal","7514 JEFFERSON ISLAND RD","NEW IBERIA","03","HWY 675 _JEFF ISLAND",29.989882,-91.940893,"251284-09.18","05.37",2,05-APR-19,65563,"2001.09.15","2155073533,2155080024,2155080016,4029510305"
"168041545","4029507224","Normal","507 CAROLINE ST","NEW IBERIA","11","NISC MW",29.986977,-91.801295,"251284-09.18","05.37",3,04-APR-19,65563,"2001.09.15","2155073704,4031717541,4030180555,4029507224"
"168261987","4030221361","Normal","1630 ELEVENTH ST","SLIDELL","9","FR24--FrontSt.",30.27974,-89.7713,"251284-09.18","05.37",3,10-MAR-19,65563,"2001.09.15","2155077947,4029728161,4030220843,4030221361"
"168276103","4036744113","Normal","80 VICTORIA LN","MANDEVILLE","12","DOVE PARK",30.40084,-90.06728,"251284-09.18","05.37",3,17-FEB-19,65563,"2001.09.15","2155077968,4036749357,4036751522,4036744113"
"168193968","4030166220","Normal","136 FAY WAY","SLIDELL","02","OH51 -- OAK HARBOR",30.27783,-89.847858,"251284-09.18","05.37",10,10-MAR-19,65563,"2001.09.15","2155077948,2155080704,4036778502,4030207422,4030581338,4029982440,4030166220"
"168040955","4029505020","Normal","1114 TROY","NEW IBERIA","01","LOREAUVILLE GAP",30.028435,-91.786598,"251284-09.18","05.37",4,01-MAR-19,65563,"2001.09.15","2155075660,2155077832,1343885739,4029505020"
"168251842","4030226813","Normal","1120 RUE ROCHELLE","SLIDELL","09","FR24--FrontSt.",30.286552,-89.758143,"251284-09.18","05.37",5,07-APR-19,65563,"2001.09.15","2155077947,2155080767,4030230963,4043056861,4030220380,4030226813"
"168139049","4036640978","Normal","2451 LAKESIDE LOOP","MANY","13","ZWOLLE GAP",31.34284,-93.59746,"251284-09.18","05.37",4,08-APR-19,65563,"2001.09.15","2155227859,2155076360,4036640978"
"168122625","4036637689","Normal","1221 ROSE","EUNICE","12","EUSC RADIO TOWER",30.49838,-92.400818,"251284-09.18","05.37",3,26-FEB-19,65563,"2001.09.15","2155073629,2155074965,4036647767,4036637689"
"168082930","4029718361","Normal","3738 RIGOLETTE RD","PINEVILLE","08","SHERWOOD",31.381667,-92.474808,"251284-09.18","05.37",5,06-MAR-19,65563,"2001.09.15","2155058763,2155073710,2155073888,4029715103,4029718361"
"168152931","4029890587","Normal","502 FRUSHA","DERIDDER","05","DERIDDER MW",30.853205,-93.301098,"251284-09.18","05.37",7,06-MAR-19,65563,"2001.09.15","2155073627,2155074820,2155076192,4029892148,4030423745,4029890587"
"168193549","4030163990","Normal","203 RIVIERA DR","SLIDELL","02","NORTH SLIDELL",30.322462,-89.823887,"251284-09.18","05.37",2,06-APR-19,65563,"2001.09.15","2155077936,2155789211,2155080658,4030136903,4036671921,4030163990"
"168238569","4036736304","Normal","HWY 83 R/R CROSS","BALDWIN","10","TEPS MW",29.837183,-91.554863,"251284-09.18","05.37",2,04-MAR-19,65563,"2001.09.15","2155077951,4036736304"
"168236913","4036734704","Normal","500 SOUTHDOWN LOOP","COVINGTON","03","GALATAS RD",30.43679,-90.152012,"251284-09.18","05.37",2,18-MAR-19,65563,"2001.09.15","2155077955,2155082330,4029574772,4036734704"
"168007021","4028901113","Normal","901 W 17TH AVE","COVINGTON","09","RAMSAY",30.476423,-90.111553,"251284-09.18","05.35",4,11-MAR-19,65563,"2001.08.06","2155077995,4036791101,4028901113"
"168151990","4029885369","Normal","484 PITKIN RD","LEESVILLE","01","EAST LEESVILLE",31.027,-93.254098,"251284-09.18","05.37",5,07-APR-19,65563,"2001.09.15","2155073638,2155074807,2155077327,2155077339,2155077384,4029885369"
"168113515","4029806503","Normal","281 LONG BRIDGE RD","COTTONPORT","02","SOUTH COTTONPORT GAP",30.99791,-92.04535,"251284-09.18","05.37",2,06-APR-19,65563,"2001.09.15","2155070497,4043001219,4029806503"
"168124545","4036644792","Normal","1314 E LINCOLN RD","VILLE PLATTE","05","VILLE PLATTE MW",30.691752,-92.257568,"251284-09.18","05.37",3,01-MAR-19,65563,"2001.09.15","2155073640,4036647749,4036639534,4036644792"
"168075917","4029955253","Normal","605 JOHNSON ST","MANSFIELD","10","MFSC",32.0302,-93.699735,"251284-09.18","05.37",4,10-FEB-19,65563,"2001.09.15","2155073525,2155076174,2155076200,4029952171,4029955253"
"168169595","4029893031","Normal","400 NORRIS ST","MANSFIELD","07","MFSC",32.033655,-93.696203,"251284-09.18","05.37",4,30-MAR-19,65563,"2001.09.15","2155073532,2155076174,2155076200,4029893031"
"168262555","4030222942","Normal","111 LESLEY LN","PEARL RIVER","5","PEARL RIVER",30.367215,-89.757325,"251284-09.18","05.37",2,03-MAR-19,65563,"2001.09.15","2155234969,1343900978,4030222942"
"168110040","4029803184","Normal","5887 HWY 167","BUNKIE","15","PINE PRAIRIE GAP",30.845058,-92.364843,"251284-09.18","05.37",6,26-MAR-19,65563,"2001.09.15","2155070461,2155075496,2155074853,2155075110,2155075340,2155075091,4029803184"
"168121632","4036646757","Normal","44 LONG JOHN CIR","FLORIEN","13","Raw Land 62 Gap",31.278178,-93.580553,"251284-09.18","05.37",5,08-APR-19,65563,"2001.09.15","2155070492,2155077833,4032158183,4029955879,4029948030,2155077257,4029944912,4036646757"
"168067009","1343064092","Normal","2206 DUBOIN RD 1","NEW IBERIA","10","NISC MW",29.96107,-91.83046,"251581-08.08","05.34",3,06-MAY-16,65562,"1F0D.08.06","2155073704,2155081174,4029509615,4029574763,1343064092"
"168048531","4029530445","Normal","3314 OLD JEANERETTE RD","NEW IBERIA","10","NISC MW",29.98577,-91.7672,"251284-09.18","05.37",2,19-MAR-19,65563,"2001.09.15","2155073541,4029976798,4029530445"
"168010644","4029588620","Normal","993 COUVILLION ST","MOREAUVILLE","01","MANSURA INDUSTRIAL",31.038545,-91.978997,"251284-09.18","05.37",2,06-APR-19,65563,"2001.09.15","2155073549,2155075237,4029588620"
"168274263","4036737668","Normal","514 MARILYN DR","MANDEVILLE","13","Lambert GAP",30.371982,-90.09149,"251284-09.18","05.37",4,18-MAR-19,65563,"2001.09.15","2155075658,2155237288,4036785100,4036737668"
"168004142","4028902138","Normal","1502 E MEDALIST DR","PINEVILLE","11","SHERWOOD",31.409504,-92.480751,"251284-09.18","05.37",2,26-MAR-19,65563,"2001.09.15","2155058771,4029582920,4028902138"
