A,B,C,D,E
#NAME?,19762311,19762311,1,Running
RF1PSA321,1085995455,19761665,1,Running
RF1PSA380,1086479305,19768690,1,Running
RF3PA384,1086336200,19765349,1,Running
RF3PS473,1086442514,19768830,1,Running
RFF3PAK422,1086241306,19765452,1,Running
RFF3PAK429,1086241188,19765459,1,Running
RFF3PAK439,1086336328,19765469,1,Running
RFSD00400,4039363543,19761747,1,Running
RFSD00401,4039354808,19761748,1,Running
RFSD00402,4037971559,19761749,1,Running
RFSD00403,4037971528,19761750,1,Running
RFSD00404,4038005328,19761791,1,Running
RFSD00405,4038005330,19761792,1,Running
RFSD00406,4038005354,19761793,1,Running
RFSD00407,4038005347,19761794,1,Running
RFSD00408,4039201660,19761795,1,Running
RFSD00409,4038008141,19761796,1,Running
RFSD00410,4038005320,19761797,1,Running
RFSD00411,4038005517,19761798,1,Running
RFSD00412,4039145995,19761799,1,Running
RFSD00413,4038005348,19761800,1,Running
RFSD00414,4038005397,19761801,1,Running
RFSD00415,4038005292,19761802,1,Running
RFSD00416,4038005359,19761803,1,Running
RFSD00417,4038005329,19761804,1,Running
RFSD00418,4039201433,19761805,1,Running
RFSD00419,4038005356,19761806,1,Running
RFSD00420,4038005499,19761807,1,Running
RFSD00421,4039201276,19761808,1,Running
RFSD00422,4038005363,19761809,1,Running
RFSD00423,4039201655,19761810,1,Running
RFSD00424,4038005326,19761811,1,Running
RFSD00425,4039201717,19761812,1,Running
RFSD00427,4039201726,19761814,1,Running
RFSD00428,4038005372,19761815,1,Running
RFSD00429,4038005339,19761816,1,Running
RFSD00430,4039201058,19761817,1,Running
RFSD00431,4039201662,19761818,1,Running
RFSD00432,4038005340,19761819,1,Running
RFSD00434,4038005318,19761821,1,Running
RFSD00436,4038005383,19761823,1,Running
RFSD00437,4038005395,19761824,1,Running
RFSD00438,4038005373,19761825,1,Running
RFSD00440,4038005312,19761827,1,Running
RFSD00441,4039201418,19761828,1,Running
RFSD00442,4039201445,19761829,1,Running
RFSD00443,4038005364,19761830,1,Running
RFSD00444,4038005349,19761831,1,Running
RFSD00445,4039201442,19761832,1,Running
RFSD00446,4039201829,19761833,1,Running
RFSD00447,4039201535,19761834,1,Running
RFSD00448,4037676221,19761835,1,Running
RFSD00449,4039201813,19761836,1,Running
RFSD00450,4037676002,19761837,1,Running
RFSD00451,4039201745,19761838,1,Running
RFSD00452,4038005382,19761839,1,Running
RFSD00453,4039201440,19761840,1,Running
RFSD00454,4038005303,19761841,1,Running
RFSD00455,4039072551,19761842,1,Running
RFSD00456,4038005386,19761843,1,Running
RFSD00457,4038005351,19761844,1,Running
RFSD00458,4039201512,19761845,1,Running
RFSD00459,4039201763,19761846,1,Running
RFSD00460,4039201705,19761847,1,Running
RFSD00462,4038005394,19761849,1,Running
RFSD00463,4039072885,19761850,1,Running
RFSD00464,4038005393,19761851,1,Running
RFSD00465,4039201816,19761852,1,Running
RFSD00466,4039201259,19761853,1,Running
RFSD00467,4039201714,19761854,1,Running
RFSD00468,4039201727,19761855,1,Running
RFSD00469,4039201467,19761856,1,Running
RFSD00471,4039073191,19761858,1,Running
RFSD00472,4037676211,19761859,1,Running
RFSD00473,4039201495,19761860,1,Running
RFSD00474,4039201676,19761861,1,Running
RFSD00475,4039201452,19761862,1,Running
RFSD00476,4039201338,19761863,1,Running
RFSD00478,4039201585,19761865,1,Running
RFSD00479,4039201811,19761866,1,Running
RFSD00481,4039201607,19761868,1,Running
RFSD00483,4037675949,19761870,1,Running
RFSD00484,4039073047,19761871,1,Running
RFSD00485,4039201760,19761872,1,Running
RFSD00486,4039201584,19761873,1,Running
RFSD00488,4038005388,19761875,1,Running
RFSD00489,4039201683,19761876,1,Running
RFSD00490,4039073105,19761877,1,Running
RFSD00491,4037676061,19761878,1,Running
RFSD00492,4039201754,19761879,1,Running
RFSD00493,4039201820,19761880,1,Running
RFSD00494,4039201747,19761881,1,Running
RFSD00495,4037676143,19761882,1,Running
RFSD00498,4038005385,19761885,1,Running
RFSD00499,4039201919,19761886,1,Running
RFSD00501,4039201434,19761888,1,Running
RFSD00502,4039201810,19761889,1,Running
RFSD00503,4039201742,19761890,1,Running
RFSD00504,4039201544,19761891,1,Running
RFSD00505,4039201785,19761892,1,Running
RFSD00506,4039201740,19761893,1,Running
RFSD00507,4039201824,19761894,1,Running
RFSD00508,4039201846,19761895,1,Running
RFSD00509,4039201609,19761896,1,Running
RFSD00510,4039201756,19761897,1,Running
RFSD00511,4039201821,19761898,1,Running
RFSD00512,4039201614,19761899,1,Running
RFSD00513,4039187013,19761900,1,Running
RFSD00514,4039201303,19761901,1,Running
RFSD00515,4039201586,19761902,1,Running
RFSD00516,4039201755,19761903,1,Running
RFSD00518,4039201274,19761905,1,Running
RFSD00519,4039201807,19761906,1,Running
RFSD00520,4039201731,19761907,1,Running
RFSD00521,4039201735,19761908,1,Running
RFSD00522,4039201482,19761909,1,Running
RFSD00523,4039201511,19761910,1,Running
RFSD00524,4039073196,19761911,1,Running
RFSD00525,4039201593,19761912,1,Running
RFSD00526,4039201704,19761913,1,Running
RFSD00527,4037679276,19761914,1,Running
RFSD00528,4039201539,19761915,1,Running
RFSD00529,4039201549,19761916,1,Running
RFSD00530,4044675808,19776375,1,Running
RFSD00531,4039072879,19761918,1,Running
RFSD00532,4038005377,19761919,1,Running
RFSD00534,4039201768,19761921,1,Running
RFSD00536,4039201498,19761923,1,Running
RFSD00537,4037676320,19761924,1,Running
RFSD00538,4039201625,19761925,1,Running
RFSD00539,4047908325,19776590,1,Running
RFSD00540,4039201738,19761927,1,Running
RFSD00542,4039201502,19761929,1,Running
RFSD00543,4039201685,19761930,1,Running
RFSD00544,4039201428,19761931,1,Running
RFSD00545,4039073201,19761932,1,Running
RFSD00546,4039073130,19761933,1,Running
RFSD00547,4039201518,19761934,1,Running
RFSD00548,4039201671,19761935,1,Running
